אביסל|אַ ביסל|קצת
געטאנץט|געטאַנץט|רקד
געטאנצט|געטאַנצט|רקד
געטארט|געטאָרט|הי' מותר, היה מיותר
געטארטניט|געטאָרט ניט|לא הורשה
געטייטשט|געטייטשט|פירש, תרגם
געטיילט|געטיילט|חילק; מחולק
געטליכע|געטליכע|אלוקית
געטליכער|געטליכער|אלוקי
געטליכקייט|געטליכקייט|אלוקות
געטלעך|געטלעך|אלוקי
געטלעכקייט|געטלעכקייט|אלוקות
געטענהט|געטענהט|טען
געטראגן|געטראָגן|נשאו
געטראגן|געטראָגען|נשא
געטראטן|געטראטן|דרך, פסע
געטראכטט|געטראַכטט|חשב
געטראנקן|געטראַנקן|שתיה
געטראפן|געטראָפן|מצא
געטראפן|געטראָפען|פגש, מצא, קרה, פגש
געטרונקן|גע­טרונקען|שתה
געטריי|געטריי|נאמן
געטרייע|געטרייע|יקרים
געטרייקייט|געטרייקייט|נאמנות
געטריישאפט|געטריישאַפט|נאמנות
געטרינקן|געטרינקען|שתה
געיילט|געהיילט|ריפא
געייליקט|געהייליקט|מקודש
געיימניש|געהיימניש|סוד
געיימע|געהיימע|מוסתר
געייסן|געהייסן|צוה, ציוו
געייסן|געהייסען|נקרא
געילץ|געהילץ|עץ, עצים
געירשט|גע'ירש'ט|ירשו
געכאפט|געכאַפּט|תפס
געכשרט|געכשרט|הוכשר
געל|געל|צהוב
געלאדן|געלאָדן|טעון
געלאזט|געלאָזט|הניח, אפשר
געלאזן|געלאָזן|הניח, עזב
געלאךט|געלאַךט|צחק
געלאכט|גע­לאַכט|צחק
געלאפן|געלאָפן|רץ
געלאפן|געלאָפען|רצו
געלד|גע­לד|כסף
געלויבט|געלויבט|משובח
געלויכטן|געלויכטן|האיר, זרח
געלונגן|געלונגען|הצליח
געלונגענעם|געלונגענעם|מוצלח, שעלה יפה
געלונגענער|געלונגענער|מוצלח
געלוסט|געלוסט|חשק
געלט|געלט|כסף
געלטיק|גע­לטיק|כספי
געלטמיטל|גע­לטמיטל|אמצעי כסף
געליטן|געליטן|ייסורים
געלייגט|געלייגט|הניח
געלייזטווערן|געלייזט ווערן|להפתר
געלייענט|געלייענט|קרא
געלין|געליען|הלווה
געלינגן|געלינגען|להצליח
געלן|געלן|צהוב (מוטה)
געלע|געלע|צהוב (נקבה/רבים)
געלעבט|געלעבט|חי
געלעגט|געלעגט|(=געלייגט) הניח
געלעגן|געלעגן|שכב
געלעגן|געלעגען|מוכח, שכב
געלעגענהייט|געלעגענהייט|הזדמנות
געלעגענהייטן|געלעגענהייטן|הזדמנויות
געלעגער|געלעגער|מיטה
געלעכטער|געלעכטער|צחוק
געלעכטערמאכן|געלעכטער מאַכן|ללעוג
געלעכצט|געלעכצט|כמה, השתוקק
געלער|געלער|צהוב (זכר)
געלערןט|געלערןט|למד
געלערנט|געלערנט|למד
געלערנטער|געלערנטער|למדן
געלערענט|געלערענט|למד, לימד
געלערענטע|געלערענטע|למדנים
געמאגט|געמאָגט|היה מותר, יכול היה
געמאטערט|געמאַטערט|התייגע
געמאךט|געמאַךט|עשה
געמאכט|גע­מאַכט|עשה
געמאכט|געמאָכט|דרש
געמאכטגעווארן|געמאַכט געוואָרן|נעשה
געמאלט|געמאָלט|יתואר, יצוייר
געמאלן|געמאָלן|מצויר
געמאןט|געמאָןט|תבע
געמאנט|געמאנט|תבע, דרש
געמאסטן|געמאָסטן|מָדַד
געמאסטן|געמאָסטען|מדודים
געמוזט|געמוזט|היה צריך
געמיט|געמיט|מצב רוח, הלך נפש
געמיטער|געמיטער|מצב רוח
געמייןט|געמייןט|התכוון
געמיינט|געמיינט|התכוון
געמיינט(האט)|געמיינט (האָט)|חשב
געמישט|געמישט|מעורב
געמעגט|געמעגט|הורשה, יכול היה
גענאסן|גענאָסען|נהנה, נהנה מ-
גענארט|גענארט|רימה, הונה
גענוג|גענוג|מספיק
גענוטיגט|גענוטיגט|הוצרך, נזקק
גענוי|גענוי|מדוייק, בדיוק, מדוייק
גענומן|גענומען|לקח
גענומען(האט)|גענומען (האָט)|לקח
געניט|געניט|מיומן, מנוסה
גענעראל|גענעראל|גנרל; כללי
געסט|געסט|אורחים
געסיל|געסיל|סימטה
געסל|געסל|סמטה, רחוב קטן
געסלעך|געסלעך|סמטאות
געסן|געסן|רחובות, סמטאות
געענדיגט|געענדיגט|סיים, גמר
געענדיקט|געענדיקט|נִגמר
געענדערט(האט)|געענדערט (האָט)|שינה
געענטפערט|גע­ענטפֿערט|ענה
געענטפערט(האט)|געענטפערט (האָט)|ענו, ענה
געעסן|גע­עסן|אכל
געעפנט|געעפנט|פתח
געעפענט|געעפענט|נפתח, פתח
געעצהט|גע'עצה'ט|יעץ
געער|געהער|שייך (אני)
געערט|געהערט|שָמַע, שמע
געערט(האט)|געהערט (האָט)|בשמעו
געערטצו|געהערט צו|שייך
געעריגעןאכט|געהעריגען אַכט|שימת לב ראויה
געעריק|געהעריג|כראוי, כמו שצריך
געעריק|געהעריק|כהוגן, כראוי
געערסט|געהערסט|שייך (אתה)
געפאדערט|געפאָדערט|דרש
געפאלגט|געפאַָלגט|ציית
געפאלן|געפאַלן|נפל
געפאנגן|געפאַנגען|שבוי, אסור
געפאנגענשאפט|געפאַנגענשאַפט|מאסר, שבי
געפאסט|געפאַסט|צם
געפאקט|געפּאַקט|צפוף,גדוש
געפאר|געפאַר|סכנה
געפארן|געפאָרן|נסע
געפונן|געפונען|מצא, נמצא
געפועלט|געפּועלט|פעל, השיג
געפיהל|געפיהל|רגש, תחושה
געפיהלט|געפיהלט|הרגיש
געפיהלן|געפיהלן|רגשות
געפיהרט|געפיהרט|נהג
געפייערט|געפייערט|חגג, ציין
געפייערטגעווארן|געפייערט געוואָרען|הוּחַג, נֶחגַג
געפיל|גע­פיל|תחושה
געפילווארעמקייט|גע­פילוואַרעמקייט|חמימות
געפילט|געפילט|הרגיש
געפילן|גע­פילן|תחושות
געפין|געפין|מוצא (אני)
געפיןט|געפיןט|מוצא (הוא)
געפיןסט|געפיןסט|מוצא (אתה)
געפינט|געפינט|נמצא
געפינן|געפינען|למצוא
געפינענדיק(זיך)|געפינענדיק (זיך)|נִמצא
געפירט|געפירט|הנהיג, הוביל
געפירט(זיך)|געפירט (זיך)|היתנהלו
געפלויגן|געפלויגן|עף
געפעאו|גע־פּע־או|ק.ג.ב.
געפעלט|געפעלט|חסר, מצא חן
געפעליקייט|געפעליקייט|חיבה, מציאת־חן
געפעלן|געפעלען|מצאו חן
געפעלןגעווארן|געפעלן געוואָרן|מצא חן, נמצא חן
געפענגעניש|געפענגעניש|מאסר, בית הסוהר, זקן, נכבד
געפערליכסטע|געפערליכסטע|האיום ביותר, הנורא ביותר
געפערלעך|געפערלעך|נורא, מסוכן
געפראוועט|געפּראַוועט|עָרַך
געפרייט|געפרייט|שמח, התענג
געפרעגט|געפרעגט|שאל
געפרעגט(האט)|געפרעגט (האָט)|שאלו, שאל
געצאלט|געצאָלט|שילם
געצוואונגן|געצוואונגען|הוכיחו
געצוואונגענע|געצוואונגענע|כפוי, מאולץ, אנוס
געצויגן|געצויגען|משך
געציגט|געציגט|ביטא
געציטערט|געציטערט|רעד
געצייגט|געצייגט|הראה, הציג
געצייגט(האט)|געצייגט (האָט)|הראה
געציילט|געציילט|ספור, ספר
געציילטע|געציילטע|כמה, סְפוּרים, מועטים
געצייק|געצייג|כלים, מכשירים
געצעלט|געצעלט|אוהל
געקאךט|געקאָךט|בישל
געקאכט|געקאָכט|מבושלים
געקאנט|געקאָנט|יכל
געקוועטשט|געקוועטשט|נלחץ, נסחט
געקויפט|גע­קויפֿט|קנה
געקומן|געקומען|הגיעו
געקוקט|געקוקט|הסתכל
געקושט|געקושט|נישק, נשק
געקלאגט|געקלאגט|התאונן, קונן
געקלאפט|געקלאַפּט|דפק
געקלונגן|געקלונגען|צלצל, נשמע
געקליבן|געקליבן|אסף
געקלערט|געקלערט|הרהר
געקעמפט|געקעמפט|נאבקו, נלחמו
געקענט|געקענט|הכיר, יכל
געקראגין|געקראָגין|קיבל
געקראגן|געקראָגן|קִבְּלה, קיבל
געקראגן|געקראָגען|קיבל
געקראגן|געקראגען|קיבל, השיג
געקראכן|געקראָכען|זחל, טיפס
געקרוינט(האט)|געקרוינט (האָט)|הכתירו
געראגין|געראָגין|קיבל
געראטן|געראָטן|מוצלח, ייעץ
געראטעוועט|געראַטעוועט|ניצל, הציל
געראנגעל|געראַנגעל|מאבק
געראנגעלט|געראַנגעלט|נאבק
גערגט|געהרגט|הרגו
גערוט|גערוט|נח
גערוס|גערוס|דרישת שלום
גערוףט|גערוףט|קרא ל־
גערופן|גערופן|קרא, קראו, קרוי
גערופןגעווארן|גערופן געוואָרן|נקראו
גערופענע|גערוּפענע|קרויים
גערופענער|גערוּפענער|קרוּיִים, נִקְראים
גערופענער|גערופענער|נקרא, מכוּנה
גערטנער|גערטנער|גנים; גנן
געריבן|געריבן|ממולח; שפשף
גערייניגט|גערייניגט|נוקה, טוהר
געריכט|געריכט|(בית) משפט
געריפענע|געריפענע|נִקראים, קרויים
גערירט|גערירט|נגע; הוזז
גערן|גערן|בהחלט, רוצה
גערעגענט|גערעגענט|ירד גשם
גערעדט|גערעדט|דיבר, דובר
גערעט|גערעט|דיבר, דוּבר
גערעטעניש|גערעטעניש|יבול, תבואה
גערעכט|גערעכט|צודק
גערעכטזיין|גערעכט זיין|לצדוק
גערעכטע|גערעכטע|הצודק
גערעכטפערטיקט|גערעכטפערטיקט|הוצדק, מוצדק
גערעכנט|גערעכנט|נחשב; חישב
גערעכענט|גערעכענט|נחשב, חישבו
גערשטן|גערשטן|שעורה
געשאט|געשאַט|הזיק
געשאנק|געשאַנק|מתנה
געשאףט|געשאַףט|יצר
געשאפן|געשאַפען|נִברא
געשאפןגעווארן|געשאַפן געוואָרן|נברא, נוצר
געשאקלט|געשאַָקלט|ניענע, הניד
געשוואומן|געשוואומען|שחה
געשוואלן|געשוואָלן|נפוח
געשווארן|געשווארן|נשבע
געשוויבלט|געשוויבלט|גופרתי, קשקש
געשוויגן|געשוויגן|שתק
געשוויגן|געשוויגען|שתק, היה שותק
געשווינד|געשווינד|מהר
געשוויצט|געשוויצט|הזיע
געשטאלט|געשטאַלט|דמות
געשטאלטן|געשטאַלטען|דמויות
געשטאנן|געשטאַנען|עמדו
געשטארבן|געשטאָרבן|נפטר, נפטרה
געשטארקט|געשטאַרקט|התחזק
געשטופט|געשטופּט|דחף
געשטיצט|געשטיצט|נִתמַך
געשטעל|געשטעל|כַּן
געשטעלט|געשטעלט|להעמיד
געשטעלט(האט)|געשטעלט (האָט)|העמיד
געשטערט|געשטערט|הופרע; מופרע
געשטראפט|געשטראָפט|נענש
געשיינט|געשיינט|נוצצים
געשיינקט|געשיינקט|העניק במתנה
געשיכטלעך|גע­שיכטלעך|היסטורי
געשיכטע|געשיכטע|סיפור, הסטוריה, דברי הימים
געשילדערט|געשילדערט|תיאר
געשיקט|געשיקט|שלח
געשיקטגעווארן|געשיקט געוואָרן|נשלח
געשלאגן|געשלאָגן|הוכה, היכה
געשלאסעןווערן|געשלאָסען ווערען|להִנעל
געשלאפן|גע­שלאָפֿן|ישן
געשלעפט|געשלעפּט|גרר
געשמאק|גע­שמאַק|טעם
געשמאקיק|גע­שמאַקיק|טעים
געשמאקן|געשמאקן|טעים, ערב (בהטיה)
געשמאקס|גע­שמאַקס|טעמים
געשמאקע|געשמאקע|ערבים, טעימים
געשמועסט|געשמועסט|שוחח
געשמעקט|געשמעקט|הריח
געשן|געשעהן|יִקרה
געשן|געשען|לקרות, קרה
געשניטן|געשניטן|קָצַר
געשעמט|געשעמט|בְִּּיֵיש
געשעמט(זיך)|געשעמט (זיך)|הִתבייש
געשענקט|געשענקט|הוענק, ניתן במתנה
געשעפט|געשעפט|עסק, חנות
געשעפטן|געשעפטן|עסקים
געשעפטסגעשפרעך|געשעפטס-געשפּרעך|הדו-שיח העסקי
געשעצט|געשעצט|הוערך, הוצג
געשעצטער|געשעצטער|חשוּב, נִכבד
געשפילטזיך|געשפּילט זיך|שיחק
געשפיר|געשפּיר|הוּרגש
געשפראצט|געשפּראצט|נָבַט
געשפרוכן|גע­שפּרוכן|דיבר
געשפרונגן|געשפּרונגען|קפץ
געשפרעך|געשפרעך|שיחה
געשראקן|געשראָקן|פחד
געשריבן|געשריבן|רשם, כתב, רשום, כתוב
געשריבן(האט)‎|געשריבן (האָט)‎|כתב, כתבו
געשריבענע|געשריבענע|כתובים
