אַ ביסל|קצת|a little
געענדערט (האָט)|שינה|changed
גע­ענטפֿערט|ענה|answered
געענטפערט (האָט)|ענו, ענה|answered
גע­עסן|אכל|ate
געעפנט|פתח|opened
געעפענט|נפתח, פתח|opened
גע'עצה'ט|יעץ|advised, counseled
געערטע|נכבדים|honored ones
געפאָדערט|דרש|demanded
געפאַָלגט|ציית|obeyed
געפאַלן|נפל|fell
געפאַנגען|שבוי, אסור|captive, imprisoned
געפאַנגענשאַפט|מאסר, שבי|captivity, imprisonment
געפאַסט|צם|fasted
געפּאַקט|צפוף,גדוש|packed, crammed
געפאַר|סכנה|danger
געפאָרן|נסע|traveled, drove
געפונען|מצא, נמצא|found
געפּועלט|פעל, השיג|achieved, accomplished
געפיהל|רגש, תחושה|feeling, emotion
געפיהלט|הרגיש|felt
געפיהלן|רגשות|feelings
געפיהרט|נהג|led, conducted
געפייערט|חגג, ציין|celebrated
געפייערט געוואָרען|הוּחַג, נֶחגַג|was celebrated
גע­פיל|תחושה|feeling
גע­פילוואַרעמקייט|חמימות|warmth of feeling
געפילט|הרגיש|felt
גע­פילן|תחושות|feelings
געפין|מוצא (אני)|(I) find
געפיןט|מוצא (הוא)|(he) finds
געפיןסט|מוצא (אתה)|(you) find
געפינט|נמצא|is found
געפינען|למצוא|to find
געפינענדיק (זיך)|נִמצא|being found, located
געפירט|הנהיג, הוביל|led, conducted
געפירט (זיך)|היתנהלו|conducted oneself
געפלויגן|עף|flew
גע־פּע־או|ק.ג.ב.|GPU (secret police)
געפעלט|חסר, מצא חן|is lacking; pleased
געפעליקייט|חיבה, מציאת־חן|favor, likeableness
געפעלן געוואָרן|מצא חן, נמצא חן|found favor, pleased
געפעלען|מצאו חן|pleased, appealed
געפענגעניש|מאסר, בית הסוהר, זקן, נכבד|prison, imprisonment
געפערליכסטע|האיום ביותר, הנורא ביותר|most dangerous, most terrible
געפערליכער|מסוכן (מוטה)|dangerous (inflected)
געפערלעך|נורא, מסוכן|terrible, dangerous
געפּראַוועט|עָרַך|held, celebrated (an event)
געפרייט|שמח, התענג|rejoiced, delighted
געפרעגט|שאל|asked
געפרעגט (האָט)|שאלו, שאל|asked
געצאָלט|שילם|paid
געצוואונגען|הוכיחו|forced, compelled
געצוואונגענע|כפוי, מאולץ, אנוס|forced, coerced
געצויגען|משך|pulled, drew
געציגט|ביטא|expressed
געציטערט|רעד|trembled
געצייג|כלים, מכשירים|tools, instruments
געצייגט|הראה, הציג|showed, displayed
געצייגט (האָט)|הראה|showed
געציילט|ספור, ספר|counted
געציילטע|כמה, סְפוּרים, מועטים|a few, numbered
געצעלט|אוהל|tent
געקאָךט|בישל|cooked
געקאָכט|מבושלים|cooked
געקאָנט|יכל|could, was able
געקאסט|עלה (במחיר)|cost
געקאָרמעט|האכיל, פיטם; הואכל|fed, fattened
געקוועטשט|נלחץ, נסחט|squeezed, pressed
גע­קויפֿט|קנה|bought
געקומען|הגיעו|came, arrived
געקומענע|שבאו|(those) who came
געקוקט|הסתכל|looked
געקושט|נישק, נשק|kissed
געקלאגט|התאונן, קונן|complained, lamented
געקלאַפּט|דפק|knocked, beat
געקלונגען|צלצל, נשמע|rang, sounded
געקליבן|אסף|gathered
געקלערט|הרהר|pondered, thought
געקעמפט|נאבקו, נלחמו|fought, struggled
געקענט|הכיר, יכל|knew; could
געקערט|טאטא; הפנה|swept; turned
געקראָגין|קיבל|received, got
געקראָגן|קִבְּלה, קיבל|received, got
געקראָגען|קיבל|received, got
געקראגען|קיבל, השיג|received, obtained
געקראָכען|זחל, טיפס|crawled, climbed
געקרוינט|הוכתר|crowned
געקרוינט (האָט)|הכתירו|crowned
געראָגין|קיבל|received, got
געראָטן|מוצלח, ייעץ|well-turned-out; advised
געראַטעוועט|ניצל, הציל|rescued, saved
געראַנגעל|מאבק|struggle, wrestling
געראַנגעלט|נאבק|struggled, wrestled
גערודער|מהומה, רעש|commotion, uproar
גערוהט|נח (כתיב ישן)|rested (old spelling)
גערוט|נח|rested
גערונען|זרם, נזל|flowed, streamed
גערוס|דרישת שלום|regards, greeting
גערוףט|קרא ל־|called
גערופן|קרא, קראו, קרוי|called; named
גערופן געוואָרן|נקראו|were called
גערוּפענע|קרויים|called, named (pl.)
גערוּפענער|קרוּיִים, נִקְראים|called, named
גערופענער|נקרא, מכוּנה|called, named
גערטנער|גנים; גנן|gardens; gardener
געריבן|ממולח; שפשף|shrewd; rubbed
גערייניגט|נוקה, טוהר|cleaned, purified
געריכט|(בית) משפט|court (of law)
געריסן|קרע, נקרע|tore, was torn
געריפענע|נִקראים, קרויים|called, named (pl.)
גערירט|נגע; הוזז|touched; moved
גערן|בהחלט, רוצה|gladly, willingly
גערעגענט|ירד גשם|rained
גערעדט|דיבר, דובר|spoke, was spoken
גערעט|דיבר, דוּבר|spoke, was spoken
גערעטעניש|יבול, תבואה|harvest, crop
גערעכט|צודק|right, correct
גערעכט זיין|לצדוק|to be right
גערעכטע|הצודק|the just, the righteous
גערעכטפערטיקט|הוצדק, מוצדק|justified
גערעכנט|נחשב; חישב|counted, considered; calculated
גערעכענט|נחשב, חישבו|counted, considered
גערשטן|שעורה|barley
געשאַט|הזיק|harmed
געשאַנק|מתנה|gift
געשאַףט|יצר|created
געשאַפן געוואָרן|נברא, נוצר|was created
געשאַפען|נִברא|created
געשאַָקלט|ניענע, הניד|shook, nodded
געשוואומען|שחה|swam
געשוואָלן|נפוח|swollen
געשווארן|נשבע|swore
געשוויבלט|גופרתי, קשקש|sulfurous; scribbled
געשוויגן|שתק|was silent
געשוויגען|שתק, היה שותק|was silent
געשווינד|מהר|quickly, swiftly
געשוויצט|הזיע|sweated
געשטאַלט|דמות|form, figure
געשטאַלטען|דמויות|forms, figures
געשטאַנען|עמדו|stood
געשטאָרבן|נפטר, נפטרה|died, passed away
געשטאַרקט|התחזק|strengthened
געשטופּט|דחף|pushed, shoved
געשטילט|הרגיע, שקט|calmed, quieted
געשטיצט|נִתמַך|supported
געשטעל|כַּן|stand, frame
געשטעלט|להעמיד|placed, set
געשטעלט (האָט)|העמיד|placed, set
געשטערט|הופרע; מופרע|disturbed
געשטראָפט|נענש|punished
געשיינט|נוצצים|shone; shining
געשיינקט|העניק במתנה|gave as a gift
גע­שיכטלעך|היסטורי|historical
געשיכטע|סיפור, הסטוריה, דברי הימים|story, history
געשילדערט|תיאר|described, portrayed
געשיקט|שלח|sent
געשיקט געוואָרן|נשלח|was sent
געשלאָגן|הוכה, היכה|beaten, struck
געשלאסן|סגור; החלטי|closed; resolute
געשלאָסען ווערען|להִנעל|to be locked
גע­שלאָפֿן|ישן|slept
געשלעפּט|גרר|dragged
גע­שמאַק|טעם|taste, flavor
גע­שמאַקיק|טעים|tasty
געשמאקן|טעים, ערב (בהטיה)|tasty (inflected)
גע­שמאַקס|טעמים|tastes
געשמאקע|ערבים, טעימים|tasty, pleasant (pl.)
געשמאקער|ערב, טעים יותר|tastier, more pleasant
געשמועסט|שוחח|chatted, conversed
געשמעקט|הריח|smelled
געשניטן|קָצַר|cut, harvested
געשעהן|יִקרה|to happen; will happen
געשעמט|בְִּּיֵיש|shamed
געשעמט (זיך)|הִתבייש|was ashamed
געשען|לקרות, קרה|to happen; happened
געשענקט|הוענק, ניתן במתנה|was given as a gift
געשעעניש|אירוע|event, occurrence
געשעענישן|אירועים|events
געשעפט|עסק, חנות|business, store
געשעפטן|עסקים|businesses
געשעפטס-געשפּרעך|הדו-שיח העסקי|business conversation
געשעפטסלייט|אנשי עסקים|businessmen
געשעצט|הוערך, הוצג|esteemed, valued
געשעצטער|חשוּב, נִכבד|esteemed, respected
געשפאלטן|שסוע, מפוצל|split, cleft
געשפייזט|הזין, כלכל|fed, nourished
געשפּילט זיך|שיחק|played
געשפּיר|הוּרגש|was felt; sensation
געשפּראצט|נָבַט|sprouted
גע­שפּרוכן|דיבר|spoke
געשפּרונגען|קפץ|jumped
געשפרעך|שיחה|conversation
געשראָקן|פחד|was afraid, feared
געשריבן|רשם, כתב, רשום, כתוב|wrote; written
געשריבן (האָט)‎|כתב, כתבו|wrote
געשריבענע|כתובים|written (pl.)
גע­שריגן|צעק|shouted
געשריי|צעקה|shout, scream
געשרייען|צעקות, קריאות|shouts, cries
געשריען|צעק|shouted
גראָ|אפור|gray
גראב|גס|coarse, crude
גראבע|גסים, גסות|coarse, crude (pl.)
גראבער|גס, עבה|coarse, thick
גראָבקייט|גסות, גסות רוח|coarseness, rudeness
גראַָד|למרות|even though; precisely
גראַדע|בדיוק|exactly, just
גראָז|דשא, עשב|grass
גראַנדיעזן|ענק|grand, immense
גראַף|רוזן|count (nobleman)
גראָשן|פרוטה|penny, groschen
גרוב|בור, פיר|pit, ditch
גרויס|גדול|big, great
גרויסאַרטיק|נהדר, מפואר|magnificent, splendid
גרויסמוטיק|נדיב|magnanimous, generous
גרויסמוטיקייט|נדיבות|magnanimity, generosity
גרויסן|גדול|big, great (inflected)
גרויסע|גדולים|big, great (pl.)
גרויסער|כגדול, גדול|big, great
גרויסקייט|גדלות|greatness
גרוּנד|יסוד|foundation, basis
גרוּנדען|יסודות|foundations
גרונט|בסיס, יסוד|basis, foundation
גרוּנטיג|ביסודיות, מיוסד|thorough, well-founded
גרוּנטיק|יסודי|fundamental, thorough
גרוּנטיקייט|היסוד (המהות)|fundamentality, essence
גרוּנטיקן|יסודי|fundamental (inflected)
גרוּנטיקער|יסודי|fundamental
גרונט־שטיין|אבן יסוד|cornerstone
גרוּס|דרישת שלום|greeting, regards
גרוּסן|ד"ש|regards
גרופּירונג|קיבוץ|grouping
גרופּירן|לקבץ|to group
גרופּע|קבוצה|group
גרופּעס|קבוצות|groups
גריבלען|לחטט, להתעמק|to dig, to delve into
גרייז|טעות|error, mistake
גרייט|מוכן|ready
גרייטן|להכין|to prepare
גרייכן|להגיע-עד, להשיג|to reach, to attain
גרייכנדיק|הגיע-עד...|reaching, attaining
גרייסע|גדולים (הגייה ליטאית של גרויסע)|big, great (Lithuanian pron.)
גרייסער|גדול (הגייה ליטאית)|big, great (Lithuanian pron.)
גרין (פאַרב)|ירוק|green
גריןע|ירוק (נקבה/רבים)|green (f./pl.)
גריןער|ירוק (זכר)|green (m.)
גרינג|קל|easy, light
גרינגליך|קל, בנקל|easily
גרינגלעך|בנקל|easily
גרינגלעכקייט|קלות|ease
גרינגן|קל (מוטה)|easy (inflected)
גרינגע|קל|easy
גרינגער|יותר קל|easier
גרינגקייט|קלות|ease
גרינד|סיבה, יסוד|reason, ground
גרינדונג|ייסוד|founding, establishment
גרינדלעך|יסודי|thorough
גרינדלעכקייט|יסודיות|thoroughness
גרינדן|לייסד|to found, to establish
גרינדער|מייסד|founder
גרינטלעך|יסודי|thorough
גרינעם|ירוק (מוטה)|green (inflected)
גריקענע|של כוסמת|of buckwheat
גרעבּער|גס-יותר|coarser, thicker
גרעזעלע|דשא קטן, עשבייה|little grass, blade of grass
גרעניץ|גבול|border, boundary
גרענעצן|גבולות|borders, boundaries
גרעסטן|הגדולים ביותר|greatest (inflected)
גרעסטער|הגדול ביותר|greatest
גרעסער|גדול יותר|bigger, greater
גרעסערע|יותר-גדול|bigger (pl.)
גרעסערער|גדול יותר|bigger, greater
גשמיותדיק|גשמי|physical, material
גשמיותדיקע|גשמיים|physical, material (pl.)
דאָ|כאן, פה|here
דאָ אין דער ערד|כאן בארץ|here on earth
דאָ אַרום|כאן, בסביבה|around here
דאָ ביי|כאן, אצל|here at
דאָ הין|לכאן|to here
דאָ פֿון|מכאן|from here
דאָ צו|לכך|to this
דאַגעגען|לעומת זה|on the other hand, whereas
דא-דא|כאן שם|here and there
דאַהין|לשם|to there
דאַוונט|התפלל|prays
דאַוונען|להתפלל, תפילה|to pray; prayer
דאוונער|מתפלל (אדם המתפלל)|one who prays, worshipper
דאַווענט|מתפלל|prays
דאָזיגע|האלו|this, these
דאָזיגער|הזה|this
דאָ-זיין|להיות כאן, נוכחות|to be here; presence
דאזיקן|הזה|this (inflected)
דאָזיקע|האלו, הזה|this, these
דאָזיקער|האלו, ההוא, זה|this, that
דאטשע|בית קיץ (דאצ'ה)|summer house (dacha)
דאָך|הרי, הלא|after all, surely
דאַך|גג|roof
דאכט|נדמה (עס דאכט זיך)|it seems
דאַכטן זיך|להדמות, לתאר, לשער|to seem, to imagine
